City_ID,City,Lat,Lng,Max Temp C,Humidity,Cloudiness,Wind Speed,Country,Date
115,THOMPSON,55.7435,-97.8558,18.09,77,100,1.54,CA,1695937471
116,COLLEGE,64.8569,-147.8028,5.81,65,20,0.89,US,1695937471
117,KEFLAVIK,64.0049,-22.5624,7.95,81,40,5.14,IS,1695937471
118,ASTANEH-YE ASHRAFIYEH,37.2596,49.9444,18.48,86,0,1.29,IR,1695937472
119,VUNG TAU,10.346,107.0843,26.69,84,100,3.67,VN,1695937472
120,DEMOPOLIS,32.5176,-87.8364,25.97,65,75,0.0,US,1695937201
121,WENO,7.4515,151.8468,27.97,94,100,3.6,FM,1695937473
122,KITTILA,67.6647,24.8936,9.08,87,0,3.6,FI,1695937473
123,LUDERITZ,-26.6481,15.1594,14.55,74,27,2.95,NA,1695937474
124,EAST LONDON,-33.0153,27.9116,16.55,85,25,2.71,ZA,1695937474
125,ITOMAN,26.1247,127.6694,27.43,96,40,5.14,JP,1695937474
126,MAHAJANGA,-15.7167,46.3167,25.01,44,20,4.12,MG,1695937475
127,WAYNESVILLE,35.4887,-82.9887,24.66,79,71,0.89,US,1695937457
128,JIKAMSHI,12.1733,7.7742,23.09,81,100,5.96,NG,1695937475
129,PEACE RIVER,56.2501,-117.286,10.17,93,100,3.09,CA,1695937269
130,DAKHLA,23.6848,-15.958,21.01,83,80,6.69,EH,1695937476
131,RECANI,31.2846,-4.2688,26.81,23,0,3.8,MA,1695937476
132,STREZHEVOY,60.7333,77.5889,7.2,83,100,2.68,RU,1695937477
133,TABATINGA,-4.2525,-69.9381,35.05,55,20,1.54,BR,1695937477
134,AR RUTBAH,33.0381,40.2848,26.04,28,0,4.51,IQ,1695937477
135,REMIRE-MONTJOLY,4.9167,-52.2667,29.02,70,0,3.6,GF,1695937478
136,TZUCACAB,20.0667,-89.05,31.87,56,95,0.87,MX,1695937478
137,LEBU,-37.6167,-73.65,10.83,79,0,11.87,CL,1695937478
138,MARGATE,-30.8636,30.3705,17.46,82,0,2.67,ZA,1695937479
139,MASTERTON,-40.9597,175.6575,11.05,60,14,3.71,NZ,1695937479
140,VILYUCHINSK,52.9306,158.4028,3.15,54,13,1.67,RU,1695937479
141,KINDIA,10.0569,-12.8658,22.39,97,94,0.74,GN,1695937480
142,BADIYAH,22.45,58.8,25.7,40,3,2.71,OM,1695937480
143,SAN PATRICIO,19.2167,-104.7,35.06,63,75,8.23,MX,1695937480
144,OKHOTSK,59.3833,143.3,6.72,86,6,1.51,RU,1695937481
145,BUKAMA,-9.2,25.85,22.79,84,95,0.95,CD,1695937481
146,ELKO,41.0002,-115.5012,21.52,21,0,5.81,US,1695937481
147,KUUSAMO,65.9667,29.1833,7.02,100,0,1.54,FI,1695937482
148,PORT MORESBY,-9.4431,147.1797,24.68,83,100,5.14,PG,1695937482
149,KASANE,-17.8167,25.15,23.11,36,52,1.2,BW,1695937482
150,ALBANY,-35.0169,117.8917,7.68,96,0,1.23,AU,1695937483
151,DECINES-CHARPIEU,45.7686,4.9598,20.34,76,0,4.63,FR,1695937483
152,HAIKU-PAUWELA,20.9219,-156.3051,31.01,60,20,6.17,US,1695937484
153,PENICHE,39.3558,-9.3811,21.16,92,2,4.32,PT,1695937484
154,ROMA,-26.5833,148.7833,20.63,53,1,6.51,AU,1695937484
155,TALTAL,-25.4,-70.4833,17.18,67,10,2.97,CL,1695937485
156,LAGUNA,-28.4825,-48.7808,17.35,81,25,4.53,BR,1695937237
157,MOREHEAD CITY,34.7229,-76.726,24.02,88,100,6.69,US,1695937486
158,IXTAPA,20.7,-105.2,32.35,79,75,5.14,MX,1695937486
159,CADILLAC,44.2519,-85.4012,19.95,52,40,3.6,US,1695937229
160,EL AIOUN,34.5832,-2.5061,21.56,55,43,1.7,MA,1695937487
161,FUGLAFJORDUR,62.244,-6.814,11.26,91,100,5.98,FO,1695937487
162,ASHGABAT,37.95,58.3833,19.92,30,0,0.0,TM,1695937487
163,ALESUND,62.4723,6.1549,16.29,81,75,8.23,NO,1695937488
164,IOANNINA,39.6675,20.8508,17.73,67,59,1.03,GR,1695937488
165,KONE,-21.0595,164.8658,22.48,56,36,2.47,NC,1695937488
166,BOGUCHANY,58.3814,97.4531,5.47,94,98,1.56,RU,1695937489
167,ISKATELEY,67.6803,53.1512,0.26,82,49,3.42,RU,1695937489
168,INGENIERO JACOBACCI,-41.3427,-69.5448,9.19,41,41,4.65,AR,1695937490
169,SAINT-JOSEPH,-21.3667,55.6167,19.21,77,55,4.63,RE,1695937490
170,KASSALA,15.451,36.4,29.17,49,100,3.99,SD,1695937490
171,AFAAHITI,-17.75,-149.2833,25.93,86,19,8.27,PF,1695937491
172,MUGHAL SARAI,25.3,83.1167,28.04,66,67,0.5,IN,1695937491
173,KRISTIANSUND,63.1115,7.732,15.03,88,75,1.54,NO,1695937491
174,COQUIMBO,-29.9533,-71.3436,15.85,67,20,4.63,CL,1695937396
175,KEMIJARVI,66.7131,27.4306,7.2,94,93,2.47,FI,1695937492
176,LENSK,60.7253,114.9278,3.35,88,99,0.69,RU,1695937427
177,PORT-VILA,-17.7338,168.3219,23.78,60,75,6.17,VU,1695937493
178,YANJIANG,30.1211,104.6481,19.59,93,97,1.35,CN,1695937493
179,ANATUYA,-28.4606,-62.8347,23.75,24,0,4.12,AR,1695937493
180,ACAPULCO DE JUAREZ,16.8634,-99.8901,31.9,66,20,5.66,MX,1695937469
181,SIRTE,31.2089,16.5887,24.37,68,0,3.87,LY,1695937494
182,CAO BANG,22.6667,106.25,22.99,98,100,0.63,VN,1695937495
183,CARNARVON,-24.8667,113.6333,19.33,86,19,6.7,AU,1695937495
184,AROMASHEVO,56.8602,68.6375,6.3,88,8,2.36,RU,1695937495
185,SUMBE,-11.2061,13.8437,22.12,87,25,3.81,AO,1695937496
